time,open,high,low,close,Volume
1761799500,3979.035,3981.915,3971.61,3972.47,7458
1761800400,3972.505,3978.24,3961.57,3963.01,8705
1761801300,3962.94,3965.07,3948.65,3950.46,9298
1761802200,3950.26,3963.585,3947.035,3962.68,10793
1761803100,3962.685,3973.83,3960.935,3963.975,8554
1761804000,3963.985,3971.115,3956.22,3962.385,9309
1761804900,3962.41,3970.82,3958.565,3964.91,8216
1761805800,3964.895,3968.335,3956.89,3965.655,9373
1761806700,3965.705,3977.415,3961.735,3976.96,6942
1761807600,3976.955,3977.54,3969.2,3970.555,9323
1761808500,3970.565,3972.775,3960.345,3968.705,8326
1761809400,3968.73,3969.815,3958.545,3962.275,8045
1761810300,3962.28,3962.28,3955.94,3961.28,8808
1761811200,3961.295,3969.47,3960.36,3965.735,9419
1761812100,3965.77,3974.72,3964.355,3973.095,9099
1761813000,3973.085,3975.43,3968.47,3973.95,5853
1761813900,3973.955,3977.02,3971.545,3976.585,6040
1761814800,3976.56,4006.995,3976.155,4005.35,8872
1761815700,4005.375,4011.705,3999.96,4004.515,7787
1761816600,4004.495,4007.535,4000.13,4005.785,8770
1761817500,4005.775,4006.4,3992.35,3998.69,8648
1761818400,3998.68,4000.925,3996.215,3998.335,7375
1761819300,3998.345,3999.38,3982.525,3987.09,9892
1761820200,3987.065,3988.215,3973.655,3982.34,11325
1761821100,3982.335,3987.055,3979.8,3984.19,8352
1761822000,3984.245,3985.045,3976.835,3977.265,10445
1761822900,3977.245,3977.68,3964.02,3966.145,10352
1761823800,3966.125,3976.6,3965.195,3973.5,8454
1761824700,3973.49,3976.815,3970.97,3974.515,7778
1761825600,3974.55,3983.02,3973.57,3982.35,14306
1761826500,3982.335,3985.685,3970.795,3970.98,14408
1761827400,3970.965,3980.265,3966.63,3976.9,12524
1761828300,3976.89,3978.89,3961.215,3961.48,16097
1761829200,3961.44,3977.665,3960.32,3975.425,17667
1761830100,3975.535,3976.285,3969.455,3969.675,13387
1761831000,3969.775,3979.2,3963.27,3975.355,21981
1761831900,3975.38,3995.365,3973.91,3995.365,25208
1761832800,3995.385,4015.1,3991.925,4011.24,25767
1761833700,4011.28,4013.485,3995.83,3998.545,26858
1761834600,3998.555,4001.135,3986.925,3993.39,21086
1761835500,3993.31,4002.305,3989.395,3996.425,13760
1761836400,3996.4,4004.215,3988.17,4000.39,15837
1761837300,4000.17,4002.97,3994.495,3998.935,10154
1761838200,3998.875,4005.485,3997.87,4004.785,7811
1761839100,4004.82,4008.775,4000.78,4001.76,15947
1761840000,4001.75,4004.135,3994.245,3995.21,7014
1761840900,3995.275,3998.81,3991.165,3995.515,12669
1761841800,3995.48,4002.785,3994.885,4002.78,8030
1761842700,4002.75,4003.11,3997.095,4001.55,5041
1761843600,4001.545,4004.095,3995.435,3995.545,4320
1761844500,3995.525,4003.705,3994.485,4002.51,3704
1761845400,4002.58,4010.77,4002.12,4010.255,4411
1761846300,4010.24,4018.05,4003.36,4004.505,7775
1761847200,4004.625,4007.68,4000.06,4005.58,8012
1761848100,4005.585,4013.085,4003.455,4013.045,8812
1761849000,4012.945,4017.545,4007.335,4011.075,8459
1761849900,4011.07,4017.715,4009.89,4016.225,11607
1761850800,4016.165,4025.77,4015.39,4025.07,12177
1761851700,4025.005,4025.93,4018.655,4020.16,14964
1761852600,4020.005,4025.725,4019.955,4024.635,14480
1761853500,4024.605,4025.715,4020.065,4023.355,17019
1761854400,4023.305,4027.12,4021.905,4023.505,4529
1761855300,4023.24,4023.935,4017.89,4019.095,1782
1761856200,4019.175,4020.52,4016.36,4020.245,1653
1761857100,4020.185,4027.235,4019.92,4024.525,2003
1761861600,4021.47,4023.205,4016.46,4022.29,1871
1761862500,4022.325,4022.345,4016.8,4020.905,2377
1761863400,4021.015,4027.365,4021,4024.35,2936
1761864300,4024.36,4046.595,4023.34,4037.725,7001
1761865200,4037.725,4038.585,4018.925,4027.585,6588
1761866100,4027.56,4032.14,4023.35,4028.135,3728
1761867000,4028.205,4035.235,4026.555,4032.14,3274
1761867900,4032.28,4043.25,4032.245,4036.635,4281
1761868800,4036.625,4037.06,4028.93,4032.04,6089
1761869700,4031.995,4034.245,4026.295,4027.525,3673
1761870600,4027.675,4031.35,4026.23,4027.79,4163
1761871500,4027.8,4031.505,4023.93,4025.01,5659
1761872400,4025.04,4039.58,4019.645,4032.815,11066
1761873300,4032.83,4036.155,4028.095,4030.755,9232
1761874200,4030.835,4031,4023.47,4024.03,9565
1761875100,4024.015,4025.7,4012.755,4019,10273
1761876000,4018.795,4019.405,4009.115,4009.91,10302
1761876900,4010,4018.065,4008.63,4013.485,7873
1761877800,4013.48,4015.065,4001.415,4002.995,12139
1761878700,4002.98,4017.395,4002.98,4011.145,10705
1761879600,4011.175,4013.895,3991.235,3994.305,10834
1761880500,3994.39,4001.74,3993.16,4000.53,7738
1761881400,4000.545,4003.85,3997.76,3997.945,5684
1761882300,3997.935,3998.78,3993.8,3996.315,5807
1761883200,3996.33,3997.27,3989.065,3991.64,7997
1761884100,3991.615,4001.15,3991.175,4001.05,4382
1761885000,4001.095,4006.33,3998.685,4000.365,5635
